StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q9,Q11,Q14,Q13,Q13_3_TEXT,Q16,Q17,Q19,Q19_11_TEXT,Q15,Q16,Q81,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q57_1,Q57_2,Q77,Q18,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q46,Q78,Q78_4_TEXT,Q47,Q48,Q49,Q49_6_TEXT,Q50,Q50_8_TEXT,Q51,Q52,Q52_6_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"INVITATION TO PARTICIPATE IN A RESEARCH PROJECT

You are invited to participate in a City of Melbourne survey. Please read the following information carefully and be confident that you understand its contents before deciding whether to participate.



 

PARTICIPANT INFORMATION

 

Project Title: City of Melbourne residents' and visitors' connection to nature

 

You are invited to participate in a survey on how you feel about and access nature in the City of Melbourne. The purpose of this survey is to identify ways the City of Melbourne can enhance city users' experience of nature in the city. The survey will ask you questions about your own experiences in nature within the City of Melbourne, your perceptions, and the sustainability behaviours you engage in. You will also be prompted to answer questions about Melbourne more generally and demographics.

 

This study is funded by the City of Melbourne and developed in collaboration with researchers at RMIT University. The City of Melbourne abides by the Privacy and Data Protection Act 2014. The RMIT Human Research Ethics Committee has approved this project, see details below.





If I agree to participate, what will I be required to do?

The survey should take between 15 to 20 minutes. We do not ask for any identifying information. We will ask for basic, non-identifying demographic information (e.g. age and gender) and to answer questions related to your experience in nature.





What will happen to the information I provide?

Responses will be collated and stored in a spreadsheet as group data, then subjected to analyses. Results may be published in academic journals and presented at academic conferences. Only summary information will be disseminated. Again, no identifying information will be collected as part of the survey. Once we have completed our data collection and analysis, we will make the data freely available on the Open Science Framework as part of an effort to increase transparency in science.



 

Who should I contact if I have any questions?

If you have any questions about your participation, please contact Matthew Selinske at matthew.selinske@rmit.edu.au.

 

If you have any concerns about your participation in this project, which you do not wish to discuss with the researchers, then you can contact the Research Ethics Co-ordinator, Research Integrity, Governance and Systems, RMIT University, GPO Box 2476V  VIC  3001. Tel: (03) 9925 2251 or email human.ethics@rmit.edu.au

 

Your consent to participate in this research is indicated by the completion and submission of the attached survey.

 Please indicate whether you agree to the following:   

1. I am 18 years of age or over; and       

2. I agree to participate in the research project as described","Please enter the post code where you lived on January 1, 2020 from the drop down menu.",Please indicate your age group:,"We understand life has changed dramatically for many people over the past few months. As such when answering the question below please select the answer that best describes your relationship with the City of Melbourne on January 1, 2020.",Please indicate your gender: - Selected Choice,Please indicate your gender: - I describe myself as: - Text,How do you feel about the amount of nature within the City of Melbourne?,Please use the space available to describe in detail why you feel this way in the space below.,Did you participate in any of the following nature-related activities within the City of Melbourne anytime during 2019? Please mark all that apply. - Selected Choice,Did you participate in any of the following nature-related activities within the City of Melbourne anytime during 2019? Please mark all that apply. - Other (Please specify) - Text,In the last five years have you noticed more or less nature in the City of Melbourne?,"Below, please elaborate on what you've noticed about the increase.","Below, please elaborate on the decrease you've noticed about the decrease.","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I had more free time","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I had better health","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - There were more nature-related events near where I live or work","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - The events were not difficult to get to","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - There was more nature in the area where I work, study, and/or live","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I knew more about places to go where I can experience nature in the City of Melbourne","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I understood the direct benefits to the environment of my personal efforts","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I knew more about environmental issues","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - These activities were incentivised by the government","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I had more money","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I had a social group to do them with","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - More of my family, friends or coworkers spent time in nature","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I prefer not to be involved in nature-related activities","The following set of statements helps us understand your ability to engage with nature-related activities in the City of Melbourne.

 

Please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. 

 
I would be encouraged to be more involved in nature-related activities if: - I prefer to participate in nature-related activities outside the City of Melbourne",Where do you prefer to engage in nature-related activities outside of the City of Melbourne? Please be as specific as possible in terms of the location(s) and activities you undertake. - Location(s),Where do you prefer to engage in nature-related activities outside of the City of Melbourne? Please be as specific as possible in terms of the location(s) and activities you undertake. - Activities,Could you please elaborate below why is it that you prefer not to be involved in nature-related activities.,"How would you feel if the City of Melbourne created more places for nature (plants, animals and ecosystems) within the city? 
Please use the space below to describe in detail why you feel this way.","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - Melbourne reflects who I am","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - I am proud of Melbourne","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - When I am away I miss Melbourne","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - I feel connected to Melbourne","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - People like me live and work in Melbourne","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - I respect what Melbourne stands for","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - Melbourne is part of my identity","The next set of statements aim to understand how you feel about your connection with the Melbourne area. 
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. - I feel at home in Melbourne","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - I know what I can personally do to protect nature","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - I am personally responsible for contributing to the environment’s problems.","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - My efforts to protect nature are insignificant as long as others refuse to act.","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - I have control over my own impact on the environment","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - It is important to reduce my impact on the environment","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - I am not interested in protecting nature","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - My individual actions can make a difference to the environment","The following set of statements aim to help us understand your perspectives on your ability to contribute to protecting nature and the environment.
Using the 7-point scale below, please rate the amount of agreement or disagreement you personally feel with each statement. Please be as accurate as possible, so our results are a realistic representation of your opinions, feelings and views. - I can influence decisions now, that will help protect the environment in the future","Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Volunteered for a nature conservation organisation or group (e.g. World Wildlife Fund, Birdlife, Local Friends Group)","Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Participated in community education, training, advocacy or research (e.g. citizen science)",Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Avoided meat consumption,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Chose recycled paper products (e.g. toilet paper),Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Avoided single-use plastic consumption,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Discussed pro-environmental thoughts or feelings with friends and/or family,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Tried to encourage someone else to change an activity or practice that you thought was harmful to the environment,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Participated in an environmental rally or protest,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Contacted an elected representative (e.g. Member of Parliament or local councillor) about a nature or wildlife issue,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Donated money to support local environment/nature protection,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Voted for a political candidate based on their environmental position,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Viewed wildlife online via live cameras,Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Signed an online petition for a wildlife issue,"Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Contributed to the collection of wildlife or environmental data via a digital application (app) eg. Waterwatch and Estuarywatch, Frog Census, Victorian Biodiversity Atlas, iNaturalist, ebird, bird and nest box monitoring and observer groups",Using the 5-point scale below please rate the frequency you engaged in the following activities last year (2019). - Shared a nature or wildlife-oriented article online via social media,Using the 5-point scale below please rate the frequency you engaged in the following activities over last year (2019). Please mark 'Not applicable' only if the statement does not apply to you (e.g. you do not own a cat or you do not eat seafood). - Chose sustainable seafood products (e.g. Marine Stewardship Council certified),Using the 5-point scale below please rate the frequency you engaged in the following activities over last year (2019). Please mark 'Not applicable' only if the statement does not apply to you (e.g. you do not own a cat or you do not eat seafood). - Kept cat fully contained indoors to protect native birds and animals,Using the 5-point scale below please rate the frequency you engaged in the following activities over last year (2019). Please mark 'Not applicable' only if the statement does not apply to you (e.g. you do not own a cat or you do not eat seafood). - Kept your dog(s) on a lead when visiting natural areas,Using the 5-point scale below please rate the frequency you engaged in the following activities over last year (2019). Please mark 'Not applicable' only if the statement does not apply to you (e.g. you do not own a cat or you do not eat seafood). - Avoided chemical herbicides or pesticides in domestic gardens,Using the 5-point scale below please rate the frequency you engaged in the following activities over last year (2019). Please mark 'Not applicable' only if the statement does not apply to you (e.g. you do not own a cat or you do not eat seafood). - Planted and/or maintained a garden for wildlife,How long have you lived in the Greater Melbourne region (i.e. the City of Melbourne and its surrounding suburbs; see map above)? Please select the option that best applies.,"In which country were you born? If you do not wish to answer the please click ""Prefer not to say"". - Selected Choice","In which country were you born? If you do not wish to answer the please click ""Prefer not to say"". - Other (Please specify) - Text",The topic of this survey has mainly been about:,"Do you speak a language other than English at home? If you do not wish to answer the please click ""Prefer not to say"".",Which language is that? Please select one option only. - Selected Choice,Which language is that? Please select one option only. - Other (Please specify) - Text,"Please identify the highest level of qualification you have completed. If you do not wish to answer the please click ""Prefer not to say"". - Selected Choice","Please identify the highest level of qualification you have completed. If you do not wish to answer the please click ""Prefer not to say"". - Other (Please specify) - Text","For the 2018-2019 financial year please indicate your annual taxable household income (this is an estimate based on the total taxable income for all members contributing directly to your household income). If you do not wish to answer the please click ""Prefer not to say"".","Please identify your employment status on January 1, 2020. Mark all that apply. If you do not wish to answer the please click ""Prefer not to say"". - Selected Choice","Please identify your employment status on January 1, 2020. Mark all that apply. If you do not wish to answer the please click ""Prefer not to say"". - Other (Please specify) - Text"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_11_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID16_12""}","{""ImportId"":""QID16_13""}","{""ImportId"":""QID16_14""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID25_9""}","{""ImportId"":""QID25_10""}","{""ImportId"":""QID25_11""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID26_9""}","{""ImportId"":""QID26_10""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID30_7""}","{""ImportId"":""QID30_8""}","{""ImportId"":""QID30_13""}","{""ImportId"":""QID30_14""}","{""ImportId"":""QID30_15""}","{""ImportId"":""QID30_16""}","{""ImportId"":""QID30_28""}","{""ImportId"":""QID30_34""}","{""ImportId"":""QID30_29""}","{""ImportId"":""QID30_30""}","{""ImportId"":""QID30_31""}","{""ImportId"":""QID30_33""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID48""}","{""ImportId"":""QID80""}","{""ImportId"":""QID80_4_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_6_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_8_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_6_TEXT""}"
43927.1825,43927.18263,Survey Preview,100,11,TRUE,43927.18264,R_2ALmnr0JFJ4wXHd,preview,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43932.83978,43932.83984,Survey Preview,100,5,TRUE,43932.83985,R_27PtmqAl539kmOF,preview,EN,I prefer to exit the survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43934.71868,43934.74991,IP Address,100,2697,TRUE,43934.74991,R_268YOHuFHmZgef1,anonymous,EN,Agree,3000,21-30,1,I describe myself as:,,Moderately too little,Insert response,"Taking a nature walk within the City of Melbourne,City of Melbourne Nature Stewards Program,Other (Please specify)",,Less,,,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,,,,Insert response,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Never,Never,Never,Never,1-2 years,,,Your connection to nature in the City of Melbourne,No,,,Postgraduate qualification- Doctorate,,"$80,001 – $180,000",Full-time,
43935.78005,43935.80678,IP Address,100,2310,TRUE,43935.80679,R_1PSPCPaHCLW6Lqa,anonymous,EN,Agree,3158,31-40,I live outside the City of Melbourne but generally commute to the City of Melbourne for work,Female,,Far too little,Why i feel about what?,"Visiting the Royal Botanic Gardens,Taking a nature walk within the City of Melbourne,Citizen science programs,City of Melbourne Gardens for Wildlife Program,City of Melbourne Nature Stewards Program,Other (Please specify)",planting friends groups & weeding with SCB,About the same,,,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,,,,"It would make the city nicer. I'd feel happier about humanity. Also, Lee is awesome ;)",Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,,,,,,,,Never,Not applicable,Rarely,,10,,,Your connection to nature in the City of Melbourne,No,,,Undergraduate Degree,,"$80,001 – $180,000",Full-time,
43936.67492,43936.68987,IP Address,100,1291,TRUE,43936.68987,R_1dgkQc3l5Kvra0F,anonymous,EN,Agree,3071,21-30,I live outside the City of Melbourne but generally commute to the City of Melbourne for work,Male,,Moderately too little,"To say there is no nature in the city would be overly critical, but there could be a LOT more.","Visiting the Royal Botanic Gardens,Bird watching, or other nature watching within the City of Melbourne",,About the same,,,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,,,,It would be great. It would improve the liveability of the city generally and make the city a nicer place to be.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Never,Never,Occasionally,Often,Often,Very often,Often,Rarely,Never,Never,,Rarely,Rarely,Never,Very often,,Often,6,Often,Rarely,7-8 years,,,Your connection to nature in the City of Melbourne,No,,,Postgraduate qualification- Masters,,"$80,001 – $180,000",Part-time,
43936.75047,43936.77188,IP Address,100,1848,TRUE,43936.77188,R_27BV5gFR7HpkbC7,anonymous,EN,Agree,3053,31-40,1,Male,,Moderately too little,"Limited understorey. Street trees are mostly pretty small and spaced out. My neighbourhood has some good small parks between the big ones but that's pretty rare across Melbourne. Not much vertical or rooftop greening. The nature I do see is just a few species, too. All up, I feel like unless I actively seek it, I don't really experience biodiversity in the city. ","Visiting the Royal Botanic Gardens,Taking a nature walk within the City of Melbourne",,Less,Mass construction has left our city feeling quite grey. ,,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,,,,"I'd feel like the city was looking after me better. It's pretty dense where I live so I rely on our streets and parks a lot for their restorative effects. I also think that if CoM got it right by providing more Australian nature, I'd feel more confident that we are protecting the city from natural disasters like heatwaves and flooding, plus even connecting us to our identity and that of the custodians of the land. ",Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Very often,Occasionally,Often,Rarely,Occasionally,Rarely,Rarely,Rarely,,Never,Never,Never,Occasionally,,6,6,6,6,7-8 years,,,Your connection to nature in the City of Melbourne,No,,,Postgraduate qualification- Masters,,Prefer not to say,Full-time,
43937.43917,43937.45889,IP Address,100,1704,TRUE,43937.45891,R_2QMp96p5PDjadsA,anonymous,EN,Agree,3020,31-40,I live outside the City of Melbourne but generally commute to the City of Melbourne for work,4,,Far too little,"The intro to this question needs two more commas. As a reminder, for the purpose of this survey, by Nature.... 
And I think the word 'nature' needs a capital N","Visiting the Royal Botanic Gardens,Taking a nature walk within the City of Melbourne,Bird watching, or other nature watching within the City of Melbourne",,About the same,,,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,It would improve the city,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Never,Never,Very often,Very often,Very often,Occasionally,Never,Occasionally,Occasionally,Occasionally,,Occasionally,Occasionally,Occasionally,Occasionally,,6,Often,Often,Often,11-15 years,,,Your connection to nature in the City of Melbourne,Yes,Prefer not to say,,Prefer not to say,,Prefer not to say,Prefer not to say,
43936.64125,43940.62887,IP Address,100,344529,TRUE,43940.62887,R_2WZpyMt1As5dF4e,anonymous,EN,Agree,3068,41-50,I live outside the City of Melbourne but generally commute to the City of Melbourne for work,Female,,Far too little,concrete jungle,"Visiting the Royal Botanic Gardens,Taking a nature walk within the City of Melbourne,Bird watching, or other nature watching within the City of Melbourne,Citizen science programs",,Less,Tree removal due to relentless development,,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,,,,This would be fantastic - COVID-19 has shown us how critical it is to have spaces for people and nature to interact close to home,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Often,Rarely,Very often,Very often,Very often,Very often,Rarely,Occasionally,Occasionally,Very often,,Rarely,Occasionally,Occasionally,Very often,,6,6,Often,Often,11-15 years,,,Your connection to nature in the City of Melbourne,No,,,Postgraduate qualification- Doctorate,,"$180,001 and over",Part-time,
